payment_id,order_id,payment_date,payment_method,payment_status,amount,gateway,transaction_ref
PAY-5B9F1FBF,ORD-BB7BD87F,2023-10-18 00:35:25,apple_pay,REFUNDED,3651.71,PayPal,TXN-702A3AA6F30D3978
PAY-F5D5BB4C,ORD-6080D0F2,2021-05-30 17:53:38,google_pay,REFUNDED,12104.66,Braintree,TXN-B05F154EE8C2F9E6
PAY-CF0F398B,ORD-6339940D,2023-07-08 14:49:35,credit_card,SUCCESS,1459.1,PayPal,TXN-4333E2D9C2ADD409
PAY-CC856184,ORD-E447AAF7,2021-12-21 20:53:37,credit_card,SUCCESS,9944.62,Stripe,TXN-B6A7A2A040A0C290
PAY-FC5DE97D,ORD-A9420696,2023-01-06 14:16:10,google_pay,REFUNDED,3817.15,Adyen,TXN-14C35D69B2325D2D
PAY-41B97CCC,ORD-49F2C7AB,2022-07-28 07:29:27,paypal,SUCCESS,8329.76,PayPal,TXN-D70F45A31F2BEFD7
PAY-70D28916,ORD-518A58CF,2021-02-17 02:51:38,google_pay,SUCCESS,1138.57,Square,TXN-6AABF8EE5C969788
PAY-9B68BE56,ORD-4ADB6EAE,2021-08-01 04:57:48,paypal,SUCCESS,8907.44,Adyen,TXN-8179DF10F7DAAAA4
PAY-A474E9A1,ORD-0F8F84A9,2024-01-29 06:45:39,paypal,SUCCESS,1092.03,Adyen,TXN-642E8F5A64504495
PAY-197FB430,ORD-D0DA3B0F,2023-08-16 14:31:52,credit_card,SUCCESS,5218.32,Square,TXN-159524F46344CAF0
PAY-867F7155,ORD-870F8373,2023-12-11 09:10:09,bank_transfer,SUCCESS,9777.94,Braintree,TXN-A19D11153495B803
PAY-F548ABE2,ORD-4F37DF22,2022-06-05 04:59:58,apple_pay,SUCCESS,17572.39,PayPal,TXN-8F6D67CF2F25D58C
PAY-4FB85C4F,ORD-A362EA4D,2021-03-20 23:47:29,google_pay,SUCCESS,18841.3,Square,TXN-9C0D07A883920F8C
PAY-CC1FF968,ORD-B73DDAC1,2021-11-21 15:29:07,paypal,SUCCESS,1832.2,Stripe,TXN-F574EDE01A8DF812
PAY-D67329B9,ORD-A293BA3B,2023-02-06 10:51:46,google_pay,SUCCESS,18076.85,Square,TXN-1308B0E58CACD48E
PAY-D2D09BC0,ORD-AF852905,2021-09-12 12:03:22,debit_card,SUCCESS,18703.03,Adyen,TXN-E6762D1BDA3F4670
PAY-B3BED1B3,ORD-7EFEC2DA,2022-06-04 15:32:29,credit_card,SUCCESS,10194.88,PayPal,TXN-3EEFEB68D451399E
PAY-AEEF3713,ORD-78EAFB7B,2021-05-05 12:50:24,paypal,SUCCESS,11754.05,Adyen,TXN-DCDA34465787AB68
PAY-BD89903A,ORD-A12D4F40,2022-01-17 14:55:53,bank_transfer,SUCCESS,3787.53,Braintree,TXN-73844A2EFAF21139
PAY-185C9BE6,ORD-E00BF1DD,2023-09-18 05:36:44,google_pay,SUCCESS,20987.34,Braintree,TXN-D0611F3B09B6400E
PAY-99E7CD9D,ORD-93A4C445,2023-11-22 22:08:46,credit_card,SUCCESS,833.99,Braintree,TXN-E6F8C0C2341656A9
PAY-97A4E1E8,ORD-5CC997B8,2021-05-25 11:37:27,credit_card,SUCCESS,5161.36,Adyen,TXN-B79B606408DDB234
PAY-A340C19D,ORD-3B307DB5,2022-03-28 09:42:33,buy_now_pay_later,SUCCESS,3580.69,Braintree,TXN-00A27E4100508A09
PAY-95707A19,ORD-C017965C,2024-08-29 20:56:49,credit_card,REFUNDED,14651.84,PayPal,TXN-02421C241CA0482B
PAY-8359144A,ORD-B3E2783E,2022-04-06 02:10:22,debit_card,SUCCESS,4558.9,Square,TXN-766970CE41DDB938
PAY-DF87DBE5,ORD-E95BE394,2021-06-23 12:12:40,bank_transfer,SUCCESS,13112.04,Adyen,TXN-E852A5F75651F9B5
PAY-A9F74E2F,ORD-EF391835,2024-02-25 18:32:47,paypal,SUCCESS,2866.3,Adyen,TXN-7B9C07710B5CC811
PAY-CBB63DD2,ORD-56F139B1,2024-02-06 01:52:03,google_pay,SUCCESS,5227.17,Stripe,TXN-AF993ECEE3268695
PAY-37A4F03D,ORD-B6DC2281,2023-12-01 06:19:09,google_pay,SUCCESS,5140.23,Square,TXN-14FC349881E5989F
PAY-642528BE,ORD-1650A78E,2021-01-18 21:21:35,credit_card,SUCCESS,1530.14,Braintree,TXN-243F77E92E3C7E2C
PAY-92B6AF06,ORD-288777A7,2021-02-27 10:57:22,credit_card,SUCCESS,13968.48,Square,TXN-B6103B8B0DBD3624
PAY-0FADC8E7,ORD-89187A61,2022-10-26 23:33:32,apple_pay,SUCCESS,10329.11,Stripe,TXN-ED0F9C1DB7117EFD
PAY-D4EA01F4,ORD-E975C551,2024-09-19 21:12:11,paypal,SUCCESS,11964.34,Stripe,TXN-7666E38FAF649879
PAY-27F8A26E,ORD-B3D4A124,2024-05-07 19:52:12,debit_card,REFUNDED,3786.65,Adyen,TXN-EE02C461C160BA48
PAY-362939E1,ORD-03AC8FAA,2023-06-15 09:15:51,buy_now_pay_later,SUCCESS,6087.23,PayPal,TXN-E04B840149603DAF
PAY-6D21761D,ORD-452279F0,2022-09-23 07:27:02,paypal,SUCCESS,6765.28,Adyen,TXN-A39D1534BCA3B577
PAY-C52DE504,ORD-4C1B622D,2022-12-04 12:17:36,debit_card,SUCCESS,675.03,Stripe,TXN-7172DB2B2E8C19B5
PAY-FAF788E6,ORD-796A2DE5,2024-12-18 07:56:34,buy_now_pay_later,SUCCESS,15689.13,Braintree,TXN-B96EFC664D99C391
PAY-4B08D8C9,ORD-347334FE,2022-01-21 04:19:23,debit_card,SUCCESS,9101.88,Stripe,TXN-8F2C089AB3D4E4BE
PAY-513D11B2,ORD-5778A097,2021-10-17 17:47:06,credit_card,SUCCESS,14538.83,Adyen,TXN-25F50CCAF672CF80
PAY-1C570E0B,ORD-83311096,2022-05-04 11:02:24,bank_transfer,SUCCESS,12882.86,Braintree,TXN-C59B0FF93CB063C1
PAY-C12B5ABB,ORD-2399E1D5,2024-10-16 10:58:13,apple_pay,SUCCESS,20237.84,Braintree,TXN-B31FC9DA0AD822A1
PAY-61987129,ORD-ED2C9FDF,2024-08-28 14:46:14,google_pay,SUCCESS,13027.42,Stripe,TXN-AB49E264CA3AC6BA
PAY-EACC1732,ORD-0F193FE9,2021-06-26 00:16:08,credit_card,SUCCESS,5112.35,PayPal,TXN-8ED2ECDE0C2353B0
PAY-30D0539A,ORD-EDE530CB,2021-09-09 01:27:04,paypal,SUCCESS,3824.87,Stripe,TXN-9649D0A6918272BF
PAY-CF0BB96E,ORD-357F151B,2023-07-06 10:32:40,credit_card,SUCCESS,141.89,Braintree,TXN-3A8DFBDB84B0357F
PAY-EDD5FF96,ORD-1C7147DF,2021-11-16 15:21:54,paypal,REFUNDED,15599.16,Adyen,TXN-166D0725F09F1FE6
PAY-A2D0C809,ORD-9419C38D,2021-10-22 15:28:54,google_pay,SUCCESS,7579.54,Stripe,TXN-C3F8AE78DDC9B1BB
PAY-C46357FA,ORD-31C9B517,2023-11-25 14:37:56,debit_card,SUCCESS,7167.99,Stripe,TXN-7B7A3327523D514D
PAY-B4270BC4,ORD-60AD2853,2021-09-23 06:42:24,credit_card,SUCCESS,5394.65,Square,TXN-A257D4CD763C62B6
PAY-DD57C86A,ORD-B300BFA7,2023-09-30 13:02:03,buy_now_pay_later,SUCCESS,4525.79,Square,TXN-C220432BA0AABB51
PAY-6706B563,ORD-F13556FF,2023-07-25 01:19:26,apple_pay,SUCCESS,11370.54,Square,TXN-7B67FD8F852D4A76
PAY-FB1613F1,ORD-20BFE0A1,2021-11-27 20:58:30,google_pay,SUCCESS,9191.91,PayPal,TXN-A4078456A8126486
PAY-3050EF06,ORD-E0397C25,2023-01-04 20:16:42,apple_pay,SUCCESS,4246.93,Braintree,TXN-37BCA188D8C9DDC7
PAY-243D402F,ORD-DC0B5BC7,2023-12-16 08:20:20,google_pay,SUCCESS,6371.75,Adyen,TXN-1AF2C05061C0090C
PAY-A98AC048,ORD-87B36FBB,2021-12-21 12:16:27,google_pay,SUCCESS,3529.5,Stripe,TXN-B7150843E7EC2ED6
PAY-76E3AA1B,ORD-830698B7,2023-06-02 15:36:53,buy_now_pay_later,SUCCESS,154.71,Adyen,TXN-66FE67E3BC421AED
PAY-0E78CB35,ORD-1B205E5E,2024-01-31 19:19:32,buy_now_pay_later,REFUNDED,6941.8,PayPal,TXN-BB9E2CB0143CD83B
PAY-8840155A,ORD-3ADFFB7E,2021-10-23 11:03:31,debit_card,SUCCESS,2717.11,PayPal,TXN-7B14B18BAFBCD1E2
PAY-8815EC1F,ORD-5828EDA7,2022-11-30 20:50:47,paypal,REFUNDED,21901.67,Adyen,TXN-A83F1972DF781273
PAY-05EC4039,ORD-0D0E6F1C,2024-03-09 22:53:40,paypal,REFUNDED,5521.51,Braintree,TXN-C50C02E9E847BD2B
PAY-7DB1FA9B,ORD-08E428E2,2024-06-18 21:26:08,credit_card,SUCCESS,9322.05,Braintree,TXN-1C212325F58DD64D
PAY-357DA5FB,ORD-5465F7AE,2024-10-18 21:04:13,buy_now_pay_later,SUCCESS,13124.05,Adyen,TXN-AECDE3C7CAEAAC01
PAY-DD7FABCE,ORD-9BF75420,2024-03-27 05:51:30,google_pay,REFUNDED,6083.56,PayPal,TXN-663275898D5D5A6D
PAY-F9EB94CE,ORD-560E6FD8,2021-12-11 06:43:21,paypal,SUCCESS,10687.46,PayPal,TXN-4FBD00882427E4D8
PAY-310F6DC0,ORD-E1ED6FAE,2023-08-27 00:07:40,google_pay,SUCCESS,7740.9,Stripe,TXN-4A1920A59BC1142C
PAY-3798E0BA,ORD-BE82373F,2024-08-06 13:24:39,credit_card,SUCCESS,2206.46,Braintree,TXN-B43FDFC5A45B0712
PAY-BE269CA7,ORD-CC4B15A3,2022-07-20 06:01:40,google_pay,SUCCESS,19432.87,Adyen,TXN-7706A804ED385E07
PAY-4A2192DE,ORD-C7B22226,2022-12-16 07:39:14,bank_transfer,SUCCESS,4915.83,Adyen,TXN-CB063F7AB9F14E56
PAY-25590D49,ORD-15728E9E,2023-12-01 22:09:56,bank_transfer,SUCCESS,7363.42,Adyen,TXN-0A81B90CCF7DAA7D
PAY-516DE2C2,ORD-1BD58E2C,2022-01-03 03:56:42,bank_transfer,SUCCESS,18215.73,Stripe,TXN-DC308F266EF68B90
PAY-BC95CF46,ORD-7CBBFD05,2023-07-12 05:44:26,bank_transfer,SUCCESS,7886.48,Square,TXN-05511208EBAEFBB5
PAY-AE4421F5,ORD-835D1BB2,2023-10-05 19:23:29,credit_card,SUCCESS,7931.74,PayPal,TXN-AF070672ED0BE8E1
PAY-366C54E4,ORD-47A8EADC,2022-05-01 02:26:37,apple_pay,SUCCESS,893.54,PayPal,TXN-13D80DBC54946F26
PAY-E38E14F4,ORD-7A68753F,2022-01-22 18:46:08,bank_transfer,SUCCESS,6453.71,Braintree,TXN-46B2188BC7DDB2BC
PAY-B74BFE00,ORD-D0060F20,2021-12-17 03:58:15,debit_card,SUCCESS,8666.29,Square,TXN-0E59C5104B7D650B
PAY-53DD4C93,ORD-5D97160E,2022-12-31 16:42:58,paypal,SUCCESS,8042.1,PayPal,TXN-FA3AD718C4E05899
PAY-0CB6E63F,ORD-E63EFA8A,2024-02-25 03:25:58,credit_card,SUCCESS,10265.85,Stripe,TXN-A0F885C2A830F5EE
PAY-530A42D2,ORD-082E3404,2023-11-01 23:21:22,apple_pay,REFUNDED,17037.26,Stripe,TXN-C5B6A4D2A732E7DC
PAY-DC0766C0,ORD-4F0E3F15,2024-12-23 13:21:19,apple_pay,SUCCESS,11262.37,Braintree,TXN-374C563DB2405837
PAY-AA2EE1C8,ORD-6A7FCCC1,2022-05-30 20:21:26,credit_card,SUCCESS,1330.45,Braintree,TXN-6C5646BDE56D17D7
PAY-498C4C2C,ORD-6D41267B,2021-12-24 14:33:26,buy_now_pay_later,REFUNDED,13427.69,PayPal,TXN-5B5617D3DD7154F9
PAY-AC24ACA6,ORD-A83EA06A,2023-08-08 13:06:07,debit_card,SUCCESS,7539.35,PayPal,TXN-6665A977D70E1BEF
PAY-92670B50,ORD-DBEE65DD,2021-06-21 15:18:28,bank_transfer,SUCCESS,13920.83,Stripe,TXN-C42CDA8AD004EB27
PAY-B578C7F2,ORD-57A0C9B6,2021-06-10 12:52:33,debit_card,REFUNDED,5408.11,Adyen,TXN-16363AAC66A4A4A4
PAY-A4A7D0C2,ORD-395975FF,2024-12-12 22:37:43,apple_pay,SUCCESS,5171.28,Braintree,TXN-CD5892772B05839F
PAY-7B868233,ORD-DC7B832E,2024-10-22 23:53:29,google_pay,SUCCESS,3322.31,Adyen,TXN-13EEC821337D3D9A
PAY-F6DED54B,ORD-477D18C9,2022-09-27 23:18:27,buy_now_pay_later,SUCCESS,16330.95,Braintree,TXN-DF33B8F604029BC3
PAY-574C4F17,ORD-69C59D52,2024-05-08 19:55:26,bank_transfer,SUCCESS,5048.91,Adyen,TXN-8B1932E2E64A26C6
PAY-CA1EDD80,ORD-8A097206,2021-02-08 23:44:19,bank_transfer,SUCCESS,10301.41,Stripe,TXN-3F21AC92E6F2A729
PAY-F204D367,ORD-F81A1A5F,2022-12-21 20:01:55,debit_card,REFUNDED,1772.38,Stripe,TXN-2F2C8843AF763FC9
PAY-24954A7B,ORD-E10C408F,2024-05-01 03:17:05,buy_now_pay_later,REFUNDED,5837.26,Square,TXN-D2E16B6B3B3C640D
PAY-2C562366,ORD-5DC0487C,2022-09-02 02:26:55,credit_card,SUCCESS,3581.93,Braintree,TXN-F027D0F89344CC6C
PAY-E7BB4AEF,ORD-471FFC40,2024-11-21 18:21:18,buy_now_pay_later,REFUNDED,16764.07,Stripe,TXN-DB30ACACDAB33606
PAY-154B5004,ORD-C5426BAD,2022-05-24 10:10:03,debit_card,SUCCESS,3822.22,PayPal,TXN-3C3E3D89F578C162
PAY-E702C8E5,ORD-8CDF7365,2024-05-30 09:02:42,credit_card,SUCCESS,14300.86,Square,TXN-391053BFE75FA073
PAY-CDA4D0C9,ORD-5AE59752,2022-07-20 19:11:53,paypal,SUCCESS,22534.9,Square,TXN-30C88B99470E5F94
PAY-7EFED0AB,ORD-6BD68832,2022-12-04 20:53:45,paypal,SUCCESS,17616.43,PayPal,TXN-9E9BF34C6CDEC83E
PAY-0C656C4B,ORD-168FD4CC,2022-12-21 13:11:13,debit_card,SUCCESS,4975.41,Braintree,TXN-FDAF0B0937CED9EE
PAY-841D5DBC,ORD-D02E1D3C,2023-10-08 06:59:46,paypal,SUCCESS,16503.01,Braintree,TXN-A031E27386F539CC
PAY-F25D42EE,ORD-E423D0C2,2024-03-16 12:32:48,credit_card,SUCCESS,13003.38,PayPal,TXN-8D70BF06FD40D616
PAY-4EE4E660,ORD-04EDC712,2023-07-09 06:59:48,google_pay,SUCCESS,11247.22,Square,TXN-5B0D11C4251BE5A8
PAY-D5430137,ORD-CB65D212,2022-01-03 03:37:21,google_pay,SUCCESS,9285.14,Adyen,TXN-AE50A92D939BEABA
PAY-C2907439,ORD-E60B4AEE,2021-01-31 05:30:40,paypal,SUCCESS,3263.21,Adyen,TXN-7F7F92708C3C36FA
PAY-8011910D,ORD-E776ADEF,2022-10-08 16:46:00,buy_now_pay_later,SUCCESS,10557.16,Adyen,TXN-A4D64753F2EB2856
PAY-59889308,ORD-C1237491,2024-07-23 17:41:18,paypal,SUCCESS,2313.45,Adyen,TXN-5EE78D041E384C07
PAY-DD5AE399,ORD-0C251336,2022-12-20 14:40:36,bank_transfer,REFUNDED,1460.01,Adyen,TXN-67E93AB0A54A526F
PAY-7C8FC5FA,ORD-597CEE16,2023-03-28 07:33:13,paypal,SUCCESS,5154.12,Braintree,TXN-1042A179EF5BD626
PAY-8ECE2B99,ORD-8809D796,2022-01-18 04:09:45,debit_card,SUCCESS,6586.22,Braintree,TXN-3599B031061BB49F
PAY-57289EA3,ORD-B07BB7A3,2023-10-12 02:07:56,bank_transfer,SUCCESS,5547.47,PayPal,TXN-E7A399233EFAA7D9
PAY-5CC4146E,ORD-CE6170AC,2023-06-28 01:27:58,google_pay,SUCCESS,21591.51,Braintree,TXN-3B608D67B48B555C
PAY-855A5957,ORD-CC32914C,2023-11-30 16:08:28,apple_pay,REFUNDED,3766.42,PayPal,TXN-C04D6373618AD887
PAY-87D35AF5,ORD-DBA91C5F,2022-05-30 19:42:34,debit_card,REFUNDED,11651.36,Adyen,TXN-3248281BF9F315E0
PAY-DDEFC69E,ORD-A43BDC0E,2022-07-13 11:09:54,paypal,REFUNDED,5670.51,Stripe,TXN-047316AE30089727
PAY-06688762,ORD-F461B5A0,2021-10-25 08:45:50,bank_transfer,SUCCESS,14899.1,Square,TXN-6850A9FD1F90B828
PAY-9459BDDA,ORD-F0D26D79,2021-11-24 20:51:16,paypal,SUCCESS,13470.09,Square,TXN-2D5D03312053E9C4
PAY-CEE47D61,ORD-E90FB545,2022-08-09 08:26:53,google_pay,SUCCESS,7734.34,Adyen,TXN-1A790FB724B72CCC
PAY-86BA5E66,ORD-2953360A,2024-05-25 09:23:08,paypal,SUCCESS,6733.99,Square,TXN-BA0CCD78D5D795E4
PAY-4C84DCE3,ORD-92755E20,2023-08-31 08:52:23,paypal,SUCCESS,5956.02,Square,TXN-AA7FBF053B328A97
PAY-40B266BA,ORD-70CC74AE,2022-01-07 06:52:44,buy_now_pay_later,SUCCESS,7522.36,Stripe,TXN-B953B5984B569F3D
PAY-60607998,ORD-D395CBBC,2024-08-11 08:30:42,bank_transfer,SUCCESS,7852.95,Stripe,TXN-B2896223F5E92931
PAY-03820213,ORD-25E3735E,2023-05-18 05:54:33,credit_card,SUCCESS,5312.29,Stripe,TXN-A8D7AD695B1237BF
PAY-53127E4C,ORD-C0C04524,2023-07-16 14:25:22,credit_card,SUCCESS,2132.55,Braintree,TXN-76F0FB0691BA40D2
PAY-EFDBD08C,ORD-8FF1BE9A,2024-08-24 14:42:32,google_pay,SUCCESS,11027.48,Square,TXN-E15E2AEF94A09808
PAY-4307C1B3,ORD-8D98DA37,2021-06-13 04:06:07,debit_card,SUCCESS,4848.27,Stripe,TXN-0605ABD6FB59C10D
PAY-0DE3AAEB,ORD-49BD78D8,2023-02-10 09:00:08,google_pay,SUCCESS,5959.49,Square,TXN-65F279BA78E56BF0
PAY-4C6B9AFF,ORD-F92696CC,2023-07-25 15:38:23,google_pay,SUCCESS,8597.52,Square,TXN-815B6A8CDD3CE4EC
PAY-C9574B72,ORD-397E6D18,2024-05-22 22:02:51,paypal,SUCCESS,4393.17,Stripe,TXN-799D7BB6F2E64E20
PAY-F8E7D99D,ORD-C8032AEB,2024-02-16 18:54:15,google_pay,REFUNDED,14492.66,Adyen,TXN-A84EDCEB27D330A7
PAY-5465CA79,ORD-4A9D86C5,2022-04-04 04:00:39,credit_card,SUCCESS,3617.7,Square,TXN-349D0B2E196C9D8F
PAY-06EF5652,ORD-C5AE0A81,2021-05-21 08:30:08,bank_transfer,SUCCESS,12625.17,Stripe,TXN-9444734B67906D26
PAY-F47EF178,ORD-AFF5EC5A,2021-02-05 02:50:44,apple_pay,SUCCESS,7375.94,Adyen,TXN-3A89B1702E250A16
PAY-62249D4B,ORD-EBCCFFE7,2021-10-26 09:38:49,buy_now_pay_later,REFUNDED,2713.94,Stripe,TXN-7BC3309A39C05AE7
PAY-5F6B1073,ORD-E84524C5,2022-04-10 20:40:54,paypal,REFUNDED,10773.39,Stripe,TXN-4E6C3C6727887E77
PAY-2B541D10,ORD-E150C587,2022-04-14 09:23:15,google_pay,SUCCESS,3300.78,Stripe,TXN-C68CB40121F1B1D0
PAY-0EC44BB8,ORD-72D90F7A,2021-07-23 06:24:56,google_pay,SUCCESS,1439.24,Adyen,TXN-05E5EC4E18F9C497
PAY-21CE0CE0,ORD-1AF674CB,2023-05-30 23:30:05,credit_card,REFUNDED,8667.57,Square,TXN-F0A549C9F0C1857D
PAY-105E8148,ORD-C9180B2C,2023-10-24 16:37:33,google_pay,SUCCESS,4367.83,PayPal,TXN-84856AF7DFD82132
PAY-3EFDE725,ORD-F5809F58,2022-06-03 07:35:26,bank_transfer,REFUNDED,3136.8,Square,TXN-F73F05D8395502F0
PAY-E8DED981,ORD-51420383,2023-09-27 05:04:53,paypal,REFUNDED,3875.44,Square,TXN-2DB0C4F665E26AB4
PAY-3FA36A04,ORD-E2432DAF,2021-06-06 23:26:55,debit_card,SUCCESS,1239.85,Stripe,TXN-0B28562CEE506826
PAY-8E727D93,ORD-797F2460,2023-08-22 23:57:14,paypal,SUCCESS,8561.39,Stripe,TXN-7263018F5F239BDF
PAY-D57012BE,ORD-76F21CF1,2022-01-22 08:18:14,google_pay,SUCCESS,12647.01,Stripe,TXN-35AB3F8631188D52
PAY-E04C8D8A,ORD-A376C278,2022-08-19 15:55:46,credit_card,SUCCESS,2535.74,PayPal,TXN-ACC1F72272DFDC39
PAY-B2CF1D68,ORD-A65B51E9,2024-01-31 19:26:54,credit_card,REFUNDED,1165.13,Adyen,TXN-667BC0B5B37B8F8D
PAY-B70B01FC,ORD-3456AC3B,2023-02-28 21:41:49,apple_pay,SUCCESS,12338.11,Braintree,TXN-1E8D4BEA5C2E6025
PAY-5B6DE81F,ORD-76C02FDF,2024-01-09 20:56:11,google_pay,SUCCESS,7594.79,PayPal,TXN-270681BCB085D8AB
PAY-6BED9FC6,ORD-8F786315,2021-08-03 20:54:10,apple_pay,SUCCESS,5733.53,PayPal,TXN-7879837BB4F8E749
PAY-F887823F,ORD-16226F1F,2024-06-01 00:53:15,apple_pay,SUCCESS,6514.29,Stripe,TXN-721F65B7F69AC640
PAY-AF9EC211,ORD-0177067C,2023-06-05 02:20:43,bank_transfer,SUCCESS,14071.24,PayPal,TXN-79AC975E5917694C
PAY-9CCEF969,ORD-CAF8B945,2023-05-09 16:30:42,apple_pay,SUCCESS,4727.82,PayPal,TXN-9EBE8A179516BC41
PAY-DCA5A2D5,ORD-DCF009B5,2022-07-01 09:49:32,credit_card,SUCCESS,13946.67,Braintree,TXN-E2DBE45EFD115CE5
PAY-0805F9D8,ORD-F467E1F6,2021-09-30 16:50:23,paypal,SUCCESS,17550.25,Stripe,TXN-8665E7FD1A7AFC83
PAY-CADBA488,ORD-0BE69EBE,2022-04-27 15:25:26,buy_now_pay_later,SUCCESS,183.65,Stripe,TXN-C1722B4D308712D6
PAY-A52151DA,ORD-3FF13DF7,2021-05-14 22:39:13,buy_now_pay_later,REFUNDED,3748.3,Square,TXN-5B9F037FC5EB9C5D
PAY-4FC8697D,ORD-9D9408D7,2021-03-15 05:03:49,bank_transfer,REFUNDED,5906.82,PayPal,TXN-7F6572F6D8B7C8E8
PAY-4A31B77E,ORD-81B6A139,2024-03-24 07:42:37,credit_card,REFUNDED,2236.55,Adyen,TXN-A6E8CB5A75559F5A
