review_id,product_id,customer_id,rating,review_title,review_body,review_date,helpful_votes,verified_purchase,sentiment_score
REV-3976460D,PROD-24D1B9CC,CUST-A23F9ABD,5,Love it,Rating 5/5 - Excellent experience.,2024-03-18,24,True,1.0
REV-9A7CEF70,PROD-699D3C65,CUST-A67C9628,5,Good value,Rating 5/5 - Excellent experience.,2022-03-30,95,True,1.0
REV-26A6AE3A,PROD-E70CB852,CUST-6886C92B,5,Could be better,Rating 5/5 - Excellent experience.,2023-09-06,93,False,1.0
REV-501DA6DB,PROD-786318A1,CUST-D8FEC94C,5,Amazing!,Rating 5/5 - Excellent experience.,2022-12-17,92,False,1.0
REV-AE06C534,PROD-9E907128,CUST-50DE0943,2,Could be better,Rating 2/5 - Disappointing.,2023-02-03,2,False,-0.5
REV-41D0F748,PROD-DF8EED40,CUST-5AB8C258,5,Not as expected,Rating 5/5 - Excellent experience.,2023-04-03,109,True,1.0
REV-9FDFB7FE,PROD-05DECE71,CUST-87EFD635,5,Perfect,Rating 5/5 - Excellent experience.,2024-10-11,105,True,1.0
REV-ACD4C6B2,PROD-939AE273,CUST-2C2C22C3,5,Not as expected,Rating 5/5 - Excellent experience.,2022-04-08,69,False,1.0
REV-BE74DA34,PROD-6DE6B716,CUST-DE72029F,3,Decent,Rating 3/5 - Average experience.,2023-01-03,60,True,0.0
REV-F3CEE196,PROD-12B5E00D,CUST-6E4FFA93,5,Great product!,Rating 5/5 - Excellent experience.,2024-08-13,31,False,1.0
REV-50EDF6B1,PROD-D63EAE68,CUST-86B61A4D,5,Perfect,Rating 5/5 - Excellent experience.,2023-06-29,123,False,1.0
REV-F8C4A3B0,PROD-B0B91340,CUST-6CC53879,4,Not as expected,Rating 4/5 - Excellent experience.,2023-05-26,121,True,0.5
REV-766BB74E,PROD-C717F521,CUST-C0D90C71,4,Great product!,Rating 4/5 - Excellent experience.,2022-08-01,131,True,0.5
REV-8987758D,PROD-E45BFEB5,CUST-6232FF32,3,Perfect,Rating 3/5 - Average experience.,2024-06-05,122,False,0.0
REV-1D615B36,PROD-DE102E93,CUST-3AE64312,4,Great product!,Rating 4/5 - Excellent experience.,2023-10-12,42,True,0.5
REV-D2FBFC56,PROD-8E582066,CUST-8AB0DD36,4,Excellent quality,Rating 4/5 - Excellent experience.,2024-08-08,48,True,0.5
REV-F1E9CD23,PROD-0C568A93,CUST-420309F4,2,Could be better,Rating 2/5 - Disappointing.,2023-08-23,19,True,-0.5
REV-BE2A4796,PROD-F4EAD736,CUST-ACB16780,4,Not as expected,Rating 4/5 - Excellent experience.,2021-12-22,129,False,0.5
REV-2DE1D2C1,PROD-38C59803,CUST-B537D7A5,4,Great product!,Rating 4/5 - Excellent experience.,2024-02-18,45,True,0.5
REV-6EEAEA7B,PROD-34E2FB5A,CUST-3C2FBFF3,2,Perfect,Rating 2/5 - Disappointing.,2022-05-20,86,False,-0.5
REV-A8E7B63B,PROD-9032E43D,CUST-D79F367C,5,Not as expected,Rating 5/5 - Excellent experience.,2023-02-18,140,False,1.0
REV-A3CD67E1,PROD-0AC72667,CUST-0DDAF328,1,Decent,Rating 1/5 - Disappointing.,2023-02-12,9,False,-1.0
REV-6D70A57B,PROD-45BBEB5E,CUST-EA454D82,5,Decent,Rating 5/5 - Excellent experience.,2024-03-25,131,True,1.0
REV-B3072DE6,PROD-592BEFCF,CUST-3573034F,5,Not as expected,Rating 5/5 - Excellent experience.,2024-04-30,144,True,1.0
REV-1AE080D0,PROD-1389FFBC,CUST-2A6CEAFF,1,Amazing!,Rating 1/5 - Disappointing.,2021-05-23,48,True,-1.0
REV-67350442,PROD-77859119,CUST-5BF891AE,4,Good value,Rating 4/5 - Excellent experience.,2024-04-23,77,True,0.5
REV-6C8EA4F1,PROD-FB33BC6F,CUST-094BC1DF,5,Decent,Rating 5/5 - Excellent experience.,2023-02-12,92,False,1.0
REV-0FB9A6A6,PROD-5681B6B0,CUST-AC40925C,5,Good value,Rating 5/5 - Excellent experience.,2021-01-14,104,False,1.0
REV-3C29996E,PROD-C15024F8,CUST-592CF20E,4,Amazing!,Rating 4/5 - Excellent experience.,2022-09-17,139,True,0.5
REV-F5222921,PROD-5DCE2E3F,CUST-D5AFC8AB,5,Amazing!,Rating 5/5 - Excellent experience.,2023-05-09,118,True,1.0
REV-C19C48BD,PROD-462CD125,CUST-288D310C,4,Highly recommend,Rating 4/5 - Excellent experience.,2023-10-30,110,False,0.5
REV-83CD4D19,PROD-6B20D9B7,CUST-8FEC41A0,5,Excellent quality,Rating 5/5 - Excellent experience.,2024-08-28,15,True,1.0
REV-2ECA3FE8,PROD-5F517E0F,CUST-553CC1EC,3,Could be better,Rating 3/5 - Average experience.,2022-01-13,3,False,0.0
REV-3344E389,PROD-C8EAEFDC,CUST-B9A7226D,5,Perfect,Rating 5/5 - Excellent experience.,2021-06-12,98,True,1.0
REV-6934D95D,PROD-F13ECB84,CUST-5D629BF4,5,Good value,Rating 5/5 - Excellent experience.,2022-09-06,130,True,1.0
REV-D44C804D,PROD-889E98A7,CUST-8F1C7DBD,5,Highly recommend,Rating 5/5 - Excellent experience.,2022-07-12,98,True,1.0
REV-400AA071,PROD-48B1342E,CUST-E01B838D,4,Amazing!,Rating 4/5 - Excellent experience.,2023-06-29,21,True,0.5
REV-9DE1619C,PROD-8EB5B176,CUST-935095EA,3,Good value,Rating 3/5 - Average experience.,2024-10-21,93,True,0.0
REV-0D800900,PROD-2B8DC231,CUST-29E9BFF8,3,Not as expected,Rating 3/5 - Average experience.,2023-04-09,82,True,0.0
REV-ED3FC972,PROD-F69514E4,CUST-C22534AB,5,Love it,Rating 5/5 - Excellent experience.,2021-08-01,34,True,1.0
REV-7F0A7E52,PROD-23FFF162,CUST-C7D1801D,5,Decent,Rating 5/5 - Excellent experience.,2024-07-25,66,True,1.0
REV-CCFF675C,PROD-F985E957,CUST-FADA2235,5,Highly recommend,Rating 5/5 - Excellent experience.,2024-09-25,45,True,1.0
REV-24303F0E,PROD-C1559F59,CUST-EEAA4DAD,5,Love it,Rating 5/5 - Excellent experience.,2024-03-15,0,True,1.0
REV-78403FEB,PROD-6E8CB919,CUST-2CC39729,5,Could be better,Rating 5/5 - Excellent experience.,2023-08-13,40,False,1.0
REV-4EBA3B19,PROD-3A0FEE1F,CUST-756DC7F0,5,Love it,Rating 5/5 - Excellent experience.,2023-07-02,68,True,1.0
REV-BC3812D0,PROD-DF8EED40,CUST-F4E850DE,5,Love it,Rating 5/5 - Excellent experience.,2023-03-31,105,True,1.0
REV-A632FF73,PROD-6CD7B276,CUST-4807C0A7,4,Excellent quality,Rating 4/5 - Excellent experience.,2022-05-22,24,True,0.5
REV-9D4D910D,PROD-64057272,CUST-0C0BAC99,3,Excellent quality,Rating 3/5 - Average experience.,2023-07-28,135,False,0.0
REV-1D5D48A8,PROD-781CBE65,CUST-6DD76FC7,5,Great product!,Rating 5/5 - Excellent experience.,2022-07-02,103,False,1.0
REV-6A9DF8F7,PROD-30886F93,CUST-A33535A5,4,Perfect,Rating 4/5 - Excellent experience.,2021-11-15,3,True,0.5
REV-EDFF95BF,PROD-42DAD706,CUST-2479191E,5,Excellent quality,Rating 5/5 - Excellent experience.,2021-01-31,25,True,1.0
REV-EF6C5FEB,PROD-786318A1,CUST-B967A1DD,5,Good value,Rating 5/5 - Excellent experience.,2023-12-13,88,True,1.0
REV-6836A4C2,PROD-0CF2B827,CUST-5883F296,5,Decent,Rating 5/5 - Excellent experience.,2023-09-30,111,True,1.0
REV-5460D574,PROD-DF8EED40,CUST-4720C796,2,Not as expected,Rating 2/5 - Disappointing.,2023-07-02,95,True,-0.5
REV-9109E574,PROD-E45BFEB5,CUST-5DF5A84E,5,Excellent quality,Rating 5/5 - Excellent experience.,2021-03-26,135,False,1.0
REV-A1A7052A,PROD-BF5CF42D,CUST-273241D2,5,Perfect,Rating 5/5 - Excellent experience.,2024-03-11,19,False,1.0
REV-8F613C93,PROD-95938A6B,CUST-8C8636A6,2,Not as expected,Rating 2/5 - Disappointing.,2021-06-11,19,True,-0.5
REV-30B46AC6,PROD-368D9A56,CUST-E17A63F0,5,Good value,Rating 5/5 - Excellent experience.,2023-03-17,150,True,1.0
REV-4777ED02,PROD-6A196176,CUST-D6242173,3,Amazing!,Rating 3/5 - Average experience.,2022-10-13,9,True,0.0
REV-399A4926,PROD-2C29F0B7,CUST-88662B34,5,Great product!,Rating 5/5 - Excellent experience.,2024-12-05,4,True,1.0
REV-82F057DB,PROD-3C401A82,CUST-475791EF,5,Amazing!,Rating 5/5 - Excellent experience.,2024-02-28,109,True,1.0
REV-E0231565,PROD-DF8EED40,CUST-736BA264,2,Amazing!,Rating 2/5 - Disappointing.,2021-07-12,142,False,-0.5
REV-34C38C7C,PROD-D7EAC29E,CUST-9F2DF116,4,Decent,Rating 4/5 - Excellent experience.,2021-08-03,4,False,0.5
REV-AAD7DBBD,PROD-1389FFBC,CUST-DAC02304,4,Good value,Rating 4/5 - Excellent experience.,2022-09-05,29,False,0.5
REV-BCFBDCE3,PROD-9830B193,CUST-091AE5A0,5,Highly recommend,Rating 5/5 - Excellent experience.,2022-02-01,17,True,1.0
REV-49FE5100,PROD-0151E96C,CUST-1F957A07,4,Good value,Rating 4/5 - Excellent experience.,2023-05-25,127,True,0.5
REV-CA43E79C,PROD-177FC994,CUST-781933BC,4,Highly recommend,Rating 4/5 - Excellent experience.,2021-04-12,99,False,0.5
REV-A40CA691,PROD-FD80227C,CUST-994F3FAD,2,Good value,Rating 2/5 - Disappointing.,2021-04-06,50,True,-0.5
REV-7B5E6B7F,PROD-BA601556,CUST-5D98F8EB,5,Highly recommend,Rating 5/5 - Excellent experience.,2022-07-04,1,True,1.0
REV-5AABE79C,PROD-5A63DBC7,CUST-1C97FA86,5,Not as expected,Rating 5/5 - Excellent experience.,2022-05-08,72,False,1.0
REV-39624EF3,PROD-89A4D7DE,CUST-75B3D774,4,Could be better,Rating 4/5 - Excellent experience.,2022-03-20,90,False,0.5
REV-8EBF08D9,PROD-EF4881F9,CUST-C495136D,2,Could be better,Rating 2/5 - Disappointing.,2021-08-06,65,False,-0.5
REV-CA174AAF,PROD-38B497C9,CUST-8EB8712F,2,Could be better,Rating 2/5 - Disappointing.,2022-08-10,119,False,-0.5
REV-61685DCB,PROD-E2060AE2,CUST-AF321DB1,2,Excellent quality,Rating 2/5 - Disappointing.,2024-08-13,9,True,-0.5
REV-CC07E5A8,PROD-D2EA1399,CUST-9A82D5C6,3,Good value,Rating 3/5 - Average experience.,2023-03-28,124,True,0.0
REV-4898B677,PROD-305625F6,CUST-95700E20,3,Perfect,Rating 3/5 - Average experience.,2024-10-01,58,True,0.0
REV-51079E68,PROD-0AD471E3,CUST-53F83E12,5,Decent,Rating 5/5 - Excellent experience.,2024-04-22,97,True,1.0
REV-FB000C11,PROD-8FBFA17B,CUST-8962E2F8,5,Could be better,Rating 5/5 - Excellent experience.,2021-05-12,23,False,1.0
REV-6E4496A0,PROD-35337371,CUST-92A3EC20,5,Love it,Rating 5/5 - Excellent experience.,2021-01-23,38,True,1.0
REV-39375440,PROD-FF755565,CUST-FAEC2DC7,3,Perfect,Rating 3/5 - Average experience.,2021-10-20,46,True,0.0
REV-A0A99EAE,PROD-02F8BF6A,CUST-B8EEDD92,5,Not as expected,Rating 5/5 - Excellent experience.,2022-10-12,111,False,1.0
REV-16E84909,PROD-F30879DD,CUST-5C62E724,5,Excellent quality,Rating 5/5 - Excellent experience.,2022-04-05,106,True,1.0
REV-1E047F3E,PROD-7BB53BD8,CUST-B4C78417,4,Highly recommend,Rating 4/5 - Excellent experience.,2022-09-09,89,True,0.5
REV-CAC08C13,PROD-B1BA3ECD,CUST-A8F3A198,5,Highly recommend,Rating 5/5 - Excellent experience.,2024-07-15,126,False,1.0
REV-5B1946EE,PROD-81B88A8B,CUST-189E0CD3,4,Amazing!,Rating 4/5 - Excellent experience.,2023-09-12,70,True,0.5
REV-80CFB2C6,PROD-DD5F8062,CUST-976F9716,4,Perfect,Rating 4/5 - Excellent experience.,2023-04-02,32,False,0.5
REV-9529887A,PROD-166851AC,CUST-704A099B,3,Amazing!,Rating 3/5 - Average experience.,2021-09-13,104,False,0.0
REV-BA4999E3,PROD-BA6C92B4,CUST-621E1E14,4,Good value,Rating 4/5 - Excellent experience.,2024-12-16,6,True,0.5
REV-6F09D828,PROD-1DC95744,CUST-29CF25CB,4,Excellent quality,Rating 4/5 - Excellent experience.,2022-01-06,110,True,0.5
REV-345B98A0,PROD-B3E75624,CUST-DB4FCBB7,5,Excellent quality,Rating 5/5 - Excellent experience.,2024-08-14,118,True,1.0
REV-F47C832B,PROD-1E3BB84E,CUST-060709F3,4,Highly recommend,Rating 4/5 - Excellent experience.,2021-05-01,104,True,0.5
REV-AE5BE1B4,PROD-F525D196,CUST-29EEB9A6,5,Perfect,Rating 5/5 - Excellent experience.,2022-06-09,95,True,1.0
REV-8768EF07,PROD-8C5DA4F9,CUST-4EEE52DB,5,Highly recommend,Rating 5/5 - Excellent experience.,2024-12-11,131,True,1.0
REV-112E6771,PROD-E7EED61A,CUST-C054E4C8,4,Great product!,Rating 4/5 - Excellent experience.,2023-08-05,75,True,0.5
REV-CB7965E2,PROD-83010660,CUST-C33F4CEF,5,Good value,Rating 5/5 - Excellent experience.,2024-08-14,110,True,1.0
REV-FBA332AC,PROD-6966CD67,CUST-6B9FD5BA,2,Not as expected,Rating 2/5 - Disappointing.,2023-07-04,71,True,-0.5
REV-367573E0,PROD-67071DCC,CUST-607EC27F,5,Good value,Rating 5/5 - Excellent experience.,2021-09-03,85,True,1.0
REV-799E10C4,PROD-D197591C,CUST-B241666A,4,Highly recommend,Rating 4/5 - Excellent experience.,2024-04-09,28,True,0.5
REV-08F83E28,PROD-2EB8302A,CUST-78740F8F,4,Good value,Rating 4/5 - Excellent experience.,2021-11-23,85,True,0.5
REV-2C32C501,PROD-BAC61D5C,CUST-83FD5171,3,Decent,Rating 3/5 - Average experience.,2023-12-09,91,True,0.0
REV-5F49B5B8,PROD-D7EAC29E,CUST-6C47C296,4,Not as expected,Rating 4/5 - Excellent experience.,2024-01-14,79,True,0.5
REV-71C35826,PROD-660937F0,CUST-BC4E8FDD,5,Not as expected,Rating 5/5 - Excellent experience.,2021-08-23,36,True,1.0
REV-95A32901,PROD-29F69509,CUST-2DB23B36,3,Good value,Rating 3/5 - Average experience.,2023-10-28,139,True,0.0
REV-EE66EEF9,PROD-1951C690,CUST-571F4C3B,1,Highly recommend,Rating 1/5 - Disappointing.,2023-12-10,43,False,-1.0
REV-F2E4ED12,PROD-38B497C9,CUST-96C517D8,5,Good value,Rating 5/5 - Excellent experience.,2023-02-24,60,True,1.0
REV-D543587A,PROD-D2AB3395,CUST-DEAD3886,3,Excellent quality,Rating 3/5 - Average experience.,2021-06-11,95,True,0.0
REV-C4B1B5B9,PROD-D7EAC29E,CUST-8EB4734F,5,Not as expected,Rating 5/5 - Excellent experience.,2022-07-05,6,True,1.0
REV-B75B403D,PROD-0E0BDD2E,CUST-A58DFBE3,5,Not as expected,Rating 5/5 - Excellent experience.,2022-08-10,96,False,1.0
REV-72E6C7ED,PROD-D86B458C,CUST-C957D956,5,Amazing!,Rating 5/5 - Excellent experience.,2024-12-06,15,True,1.0
REV-F574CFD4,PROD-C3195557,CUST-A1CC7632,4,Could be better,Rating 4/5 - Excellent experience.,2022-03-03,94,True,0.5
REV-FD3D6A68,PROD-A6FBA097,CUST-B6019792,5,Could be better,Rating 5/5 - Excellent experience.,2023-04-20,64,True,1.0
REV-AAEF68AA,PROD-9097A692,CUST-8B747A4E,5,Highly recommend,Rating 5/5 - Excellent experience.,2021-10-10,49,True,1.0
REV-DA8EE9F3,PROD-A83E8E31,CUST-DE649B9E,4,Good value,Rating 4/5 - Excellent experience.,2022-09-23,61,True,0.5
REV-DD06E40B,PROD-81DC308A,CUST-12773D79,5,Love it,Rating 5/5 - Excellent experience.,2021-06-16,32,True,1.0
REV-A280EA8A,PROD-78919B32,CUST-11EF259C,4,Great product!,Rating 4/5 - Excellent experience.,2023-08-26,117,True,0.5
REV-A234CA73,PROD-83010660,CUST-C778267C,4,Love it,Rating 4/5 - Excellent experience.,2022-11-28,147,True,0.5
REV-45626C4B,PROD-900DF25C,CUST-01ECD837,4,Perfect,Rating 4/5 - Excellent experience.,2021-07-01,26,True,0.5
REV-9CDF27D7,PROD-B57C76F1,CUST-731D4A4C,3,Love it,Rating 3/5 - Average experience.,2023-02-09,28,True,0.0
REV-4D8B999D,PROD-07490DA5,CUST-71F96528,5,Decent,Rating 5/5 - Excellent experience.,2024-08-18,10,True,1.0
REV-58EF6992,PROD-19157239,CUST-5AC174DF,5,Great product!,Rating 5/5 - Excellent experience.,2021-04-15,22,True,1.0
REV-20B5AB55,PROD-5595989F,CUST-472153D9,5,Love it,Rating 5/5 - Excellent experience.,2023-01-16,15,True,1.0
REV-0BABC67B,PROD-89A4D7DE,CUST-BB79F145,3,Great product!,Rating 3/5 - Average experience.,2022-02-10,38,False,0.0
REV-650AA870,PROD-C00B12ED,CUST-10015473,3,Decent,Rating 3/5 - Average experience.,2021-02-27,17,True,0.0
REV-92AEFC25,PROD-AD7D05F0,CUST-065B70BF,4,Not as expected,Rating 4/5 - Excellent experience.,2024-09-05,86,True,0.5
REV-4BEB847F,PROD-C78C4ECB,CUST-E8A171C4,1,Perfect,Rating 1/5 - Disappointing.,2022-04-25,75,True,-1.0
REV-87CA4C17,PROD-D2AB3395,CUST-5473BCF3,5,Could be better,Rating 5/5 - Excellent experience.,2024-04-26,87,True,1.0
REV-8EACF3AF,PROD-06072383,CUST-5BB5775F,5,Good value,Rating 5/5 - Excellent experience.,2021-01-10,145,True,1.0
REV-6FDFB7C5,PROD-482713AE,CUST-CF35FB7F,5,Good value,Rating 5/5 - Excellent experience.,2023-03-16,61,True,1.0
REV-DFA427E8,PROD-CAF57F6C,CUST-45EDE89F,3,Amazing!,Rating 3/5 - Average experience.,2021-01-09,110,True,0.0
REV-F735A349,PROD-385D425D,CUST-BBD33E03,5,Excellent quality,Rating 5/5 - Excellent experience.,2022-06-15,45,False,1.0
REV-E1B2CE5A,PROD-183C791B,CUST-224DBF3F,3,Good value,Rating 3/5 - Average experience.,2024-01-08,31,True,0.0
REV-606419CE,PROD-34E64CDD,CUST-4AE41453,5,Could be better,Rating 5/5 - Excellent experience.,2023-03-22,105,False,1.0
REV-067B65CA,PROD-F13ECB84,CUST-AA91F73F,2,Good value,Rating 2/5 - Disappointing.,2023-01-25,136,True,-0.5
REV-EAC47311,PROD-8D1DF671,CUST-DABD3D10,5,Decent,Rating 5/5 - Excellent experience.,2022-12-13,76,False,1.0
REV-E2B197E0,PROD-4FE6AABF,CUST-00C2A7BF,4,Amazing!,Rating 4/5 - Excellent experience.,2022-10-10,23,True,0.5
REV-00DBBD34,PROD-DA9196FB,CUST-7CD64EC1,5,Decent,Rating 5/5 - Excellent experience.,2024-01-13,22,True,1.0
REV-629B2AB5,PROD-D24F142D,CUST-80266456,5,Love it,Rating 5/5 - Excellent experience.,2024-11-07,53,True,1.0
REV-676AE686,PROD-183C791B,CUST-189118D9,5,Good value,Rating 5/5 - Excellent experience.,2022-06-22,23,False,1.0
REV-38228B14,PROD-FF755565,CUST-5D42AF6D,4,Decent,Rating 4/5 - Excellent experience.,2024-08-02,25,True,0.5
REV-404DCE3C,PROD-6BCE18F1,CUST-5A7496B8,3,Decent,Rating 3/5 - Average experience.,2023-07-12,1,True,0.0
REV-339BF1BE,PROD-166851AC,CUST-7BFF387C,4,Perfect,Rating 4/5 - Excellent experience.,2021-12-28,75,True,0.5
REV-7D3FFCA3,PROD-C15024F8,CUST-2B7C488D,4,Love it,Rating 4/5 - Excellent experience.,2024-09-15,29,False,0.5
REV-4B8DA230,PROD-B51E3A7C,CUST-66E1B899,4,Great product!,Rating 4/5 - Excellent experience.,2023-07-01,71,True,0.5
REV-D2B75F62,PROD-DF3FE718,CUST-A8F3A198,5,Great product!,Rating 5/5 - Excellent experience.,2021-10-02,64,True,1.0
REV-D78F120A,PROD-46C40F88,CUST-90360776,5,Great product!,Rating 5/5 - Excellent experience.,2024-02-09,117,True,1.0
REV-A7262504,PROD-135A6F75,CUST-CF7E6BD9,4,Highly recommend,Rating 4/5 - Excellent experience.,2022-10-26,106,False,0.5
REV-90363DEE,PROD-BD3F5057,CUST-DF4DFF57,2,Love it,Rating 2/5 - Disappointing.,2021-06-17,25,False,-0.5
REV-B72D4463,PROD-06072383,CUST-E9B0BFF7,5,Highly recommend,Rating 5/5 - Excellent experience.,2024-05-20,109,False,1.0
REV-55316C2E,PROD-6E8CB919,CUST-78740F8F,4,Amazing!,Rating 4/5 - Excellent experience.,2024-10-16,106,True,0.5
REV-212D583C,PROD-6966CD67,CUST-016A0D1C,5,Great product!,Rating 5/5 - Excellent experience.,2023-11-19,96,True,1.0
REV-71AE06D9,PROD-4289B123,CUST-19E55E31,5,Perfect,Rating 5/5 - Excellent experience.,2023-06-01,22,True,1.0
REV-DA92C802,PROD-8FB5AECE,CUST-57D9B97F,1,Amazing!,Rating 1/5 - Disappointing.,2022-09-16,60,True,-1.0
REV-1CDB2BF6,PROD-B3E75624,CUST-BD8083D9,4,Great product!,Rating 4/5 - Excellent experience.,2023-07-21,67,True,0.5
REV-405066B2,PROD-A0566A72,CUST-131A440F,5,Perfect,Rating 5/5 - Excellent experience.,2021-10-02,56,True,1.0
REV-044D39C6,PROD-6517850C,CUST-3BA52900,2,Good value,Rating 2/5 - Disappointing.,2021-02-03,98,True,-0.5
REV-7453F7BE,PROD-C5BC56DD,CUST-86B61A4D,4,Could be better,Rating 4/5 - Excellent experience.,2022-10-17,106,False,0.5
REV-FB7499A4,PROD-9EC82AFF,CUST-890FAA57,4,Amazing!,Rating 4/5 - Excellent experience.,2022-05-30,40,False,0.5
REV-FDEB19F0,PROD-D525FACF,CUST-FAF17C2E,4,Great product!,Rating 4/5 - Excellent experience.,2021-07-03,42,False,0.5
REV-2D32DBC6,PROD-99CFFE06,CUST-04691517,5,Good value,Rating 5/5 - Excellent experience.,2024-10-21,74,False,1.0
REV-33263910,PROD-EA6BDC4E,CUST-97B20E35,5,Good value,Rating 5/5 - Excellent experience.,2022-09-21,95,True,1.0
REV-94411E12,PROD-B6E22D0B,CUST-31D3D35C,5,Highly recommend,Rating 5/5 - Excellent experience.,2023-04-10,141,False,1.0
REV-F334C0B6,PROD-0833D3B6,CUST-6813F7E7,1,Highly recommend,Rating 1/5 - Disappointing.,2022-08-09,37,True,-1.0
REV-8BC3A1B4,PROD-E4BA9477,CUST-5C073D11,3,Good value,Rating 3/5 - Average experience.,2021-02-11,60,True,0.0
REV-9BB9FB21,PROD-96E07213,CUST-7DF63669,4,Decent,Rating 4/5 - Excellent experience.,2024-05-30,77,True,0.5
REV-D5D0F99E,PROD-385E0298,CUST-F9ED5764,5,Perfect,Rating 5/5 - Excellent experience.,2021-11-24,44,False,1.0
REV-0098F90E,PROD-44412F54,CUST-DDF06CB9,5,Decent,Rating 5/5 - Excellent experience.,2022-06-30,13,True,1.0
REV-B791E8F1,PROD-916ED3E1,CUST-DE3C5384,5,Decent,Rating 5/5 - Excellent experience.,2024-03-10,136,False,1.0
REV-CDDB0B1D,PROD-786318A1,CUST-FB9CB4A0,2,Decent,Rating 2/5 - Disappointing.,2024-08-25,19,True,-0.5
REV-724B347F,PROD-4122A71F,CUST-5412A11F,5,Excellent quality,Rating 5/5 - Excellent experience.,2024-03-12,143,True,1.0
REV-03C495C8,PROD-EFC3092E,CUST-49634907,5,Great product!,Rating 5/5 - Excellent experience.,2021-01-02,145,True,1.0
REV-7D428C03,PROD-37EE9ABD,CUST-B6C71672,5,Amazing!,Rating 5/5 - Excellent experience.,2024-02-18,109,False,1.0
REV-4F70B578,PROD-A240092D,CUST-787A63BB,5,Good value,Rating 5/5 - Excellent experience.,2023-05-13,53,False,1.0
REV-0CCD8A64,PROD-7A866F74,CUST-78615AB7,3,Not as expected,Rating 3/5 - Average experience.,2022-12-19,143,True,0.0
REV-3D32A3B0,PROD-9C06322E,CUST-F774AC4A,5,Good value,Rating 5/5 - Excellent experience.,2023-08-14,38,False,1.0
REV-490FD405,PROD-24BC26A6,CUST-41BF92D5,4,Highly recommend,Rating 4/5 - Excellent experience.,2022-02-20,96,False,0.5
REV-0458170E,PROD-07175FEC,CUST-97DF03BB,5,Great product!,Rating 5/5 - Excellent experience.,2024-01-18,76,True,1.0
REV-0CACE446,PROD-660937F0,CUST-9D9FB9E3,5,Amazing!,Rating 5/5 - Excellent experience.,2021-09-03,94,True,1.0
REV-6C67D20C,PROD-1E3BB84E,CUST-C7B39C1C,1,Highly recommend,Rating 1/5 - Disappointing.,2021-01-17,142,True,-1.0
REV-2AA7E709,PROD-04252B99,CUST-E9F16C42,2,Great product!,Rating 2/5 - Disappointing.,2024-04-01,42,True,-0.5
REV-95F636E2,PROD-4B7D7BE4,CUST-8E5129F9,5,Great product!,Rating 5/5 - Excellent experience.,2021-08-29,33,True,1.0
REV-5CB42494,PROD-650F4B0B,CUST-E4564AAE,4,Great product!,Rating 4/5 - Excellent experience.,2021-10-27,26,False,0.5
REV-22E58F36,PROD-C8EAEFDC,CUST-87F01905,3,Amazing!,Rating 3/5 - Average experience.,2021-04-17,148,True,0.0
REV-4EDAABAE,PROD-1549CBB7,CUST-806EB994,5,Great product!,Rating 5/5 - Excellent experience.,2023-08-31,12,False,1.0
