order_id,customer_id,order_date,status,shipping_method,shipping_cost,discount_amount,tax_amount,total_amount,currency,channel,net_revenue
ORD-4F37DF22,CUST-B1B0D584,2022-06-05 04:44:58,PENDING,Click & Collect,9.99,0.0,1300.92,17572.39,USD,mobile_app,17562.4
ORD-A362EA4D,CUST-127946ED,2021-03-20 23:28:29,COMPLETED,Standard,9.99,1937.38,1394.91,18841.3,USD,social,16893.93
ORD-B73DDAC1,CUST-F51EEF59,2021-11-21 15:01:07,SHIPPED,Express,9.99,187.47,134.98,1832.2,USD,social,1634.74
ORD-A293BA3B,CUST-116858BE,2023-02-06 10:43:46,COMPLETED,Express,4.99,0.0,1338.66,18076.85,USD,social,18071.86
ORD-21BF09DA,CUST-279C5E04,2023-10-24 17:21:21,CANCELLED,Free Shipping,9.99,1206.88,868.95,11740.81,USD,mobile_app,10523.94
ORD-AF852905,CUST-06206295,2021-09-12 11:49:22,COMPLETED,Standard,0.0,0.0,1385.41,18703.03,USD,email_campaign,18703.03
ORD-7EFEC2DA,CUST-C85B9BF0,2022-06-04 15:04:29,COMPLETED,Click & Collect,14.99,0.0,754.07,10194.88,USD,marketplace,10179.89
ORD-78EAFB7B,CUST-5B28AD01,2021-05-05 12:21:24,SHIPPED,Standard,14.99,0.0,869.56,11754.05,USD,email_campaign,11739.06
ORD-A12D4F40,CUST-145CF92A,2022-01-17 14:37:53,COMPLETED,Standard,0.0,184.58,280.56,3787.53,USD,social,3602.95
ORD-E00BF1DD,CUST-80345C3A,2023-09-18 05:24:44,COMPLETED,Standard,14.99,0.0,1553.51,20987.34,USD,marketplace,20972.35
ORD-93A4C445,CUST-C3FC79BE,2023-11-22 21:45:46,COMPLETED,Express,14.99,0.0,60.67,833.99,USD,social,819.0
ORD-5CC997B8,CUST-F4A68498,2021-05-25 11:17:27,COMPLETED,Express,14.99,250.8,381.21,5161.36,USD,mobile_app,4895.57
ORD-677404E9,CUST-535DBE3B,2022-07-09 03:51:26,PROCESSING,Click & Collect,4.99,85.51,129.97,1759.62,USD,marketplace,1669.12
ORD-3B307DB5,CUST-08C28452,2022-03-28 09:28:33,COMPLETED,Free Shipping,4.99,0.0,264.87,3580.69,USD,marketplace,3575.7
ORD-F4078FA8,CUST-F7956629,2022-11-22 14:56:19,CANCELLED,Express,0.0,0.0,575.97,7775.58,USD,social,7775.58
ORD-C017965C,CUST-D410FA99,2024-08-29 20:54:49,REFUNDED,Standard,4.99,713.78,1084.95,14651.84,USD,marketplace,13933.07
ORD-B3E2783E,CUST-F8BE3A14,2022-04-06 01:58:22,COMPLETED,Overnight,0.0,0.0,337.7,4558.9,USD,email_campaign,4558.9
ORD-E95BE394,CUST-5725736D,2021-06-23 11:45:40,COMPLETED,Click & Collect,0.0,0.0,971.26,13112.04,USD,web,13112.04
ORD-69C930C9,CUST-08A5D27E,2023-12-30 07:22:15,PROCESSING,Click & Collect,0.0,719.68,1093.92,14767.94,USD,social,14048.26
ORD-EF391835,CUST-24ECFF72,2024-02-25 18:24:47,COMPLETED,Overnight,0.0,0.0,212.32,2866.3,USD,social,2866.3
ORD-56F139B1,CUST-05490345,2024-02-06 01:28:03,COMPLETED,Overnight,0.0,537.77,387.2,5227.17,USD,mobile_app,4689.4
ORD-12FDCB22,CUST-DB461798,2021-05-08 18:31:36,CANCELLED,Click & Collect,4.99,1.14,1.73,28.38,USD,web,22.25
ORD-B6DC2281,CUST-DD722103,2023-12-01 05:55:09,SHIPPED,Standard,14.99,0.0,379.65,5140.23,USD,email_campaign,5125.24
ORD-1650A78E,CUST-9DD67424,2021-01-18 20:58:35,COMPLETED,Click & Collect,9.99,156.4,112.6,1530.14,USD,email_campaign,1363.75
ORD-5C8B6471,CUST-C0FE1DCD,2023-03-26 10:47:34,CANCELLED,Overnight,14.99,0.0,241.49,3275.08,USD,email_campaign,3260.09
ORD-288777A7,CUST-68E737AD,2021-02-27 10:30:22,COMPLETED,Overnight,0.0,0.0,1034.7,13968.48,USD,web,13968.48
ORD-89187A61,CUST-6D0E763B,2022-10-26 23:07:32,PENDING,Express,0.0,0.0,765.12,10329.11,USD,marketplace,10329.11
ORD-E975C551,CUST-4A10C333,2024-09-19 20:49:11,COMPLETED,Free Shipping,0.0,0.0,886.25,11964.34,USD,social,11964.34
ORD-F91FECCB,CUST-4BFDF6B4,2023-03-01 07:20:24,CANCELLED,Free Shipping,0.0,231.92,352.52,4758.97,USD,web,4527.05
ORD-B3D4A124,CUST-2105C8AD,2024-05-07 19:49:12,REFUNDED,Overnight,14.99,0.0,279.38,3786.65,USD,marketplace,3771.66
ORD-03AC8FAA,CUST-1D3E9A35,2023-06-15 09:06:51,SHIPPED,Free Shipping,9.99,296.16,450.17,6087.23,USD,email_campaign,5781.08
ORD-9AEE9651,CUST-8AB0DD36,2023-11-01 09:24:51,CANCELLED,Express,0.0,0.0,209.6,2829.65,USD,social,2829.65
ORD-775467DE,CUST-C9BAAA98,2021-07-06 17:14:31,PROCESSING,Free Shipping,0.0,0.0,676.08,9127.07,USD,email_campaign,9127.07
ORD-452279F0,CUST-958F5298,2022-09-23 07:20:02,SHIPPED,Standard,14.99,0.0,500.02,6765.28,USD,web,6750.29
ORD-4C1B622D,CUST-CD0BB22E,2022-12-04 12:04:36,COMPLETED,Standard,4.99,32.65,49.63,675.03,USD,email_campaign,637.39
ORD-796A2DE5,CUST-FC5BDE9E,2024-12-18 07:27:34,COMPLETED,Standard,4.99,764.33,1161.79,15689.13,USD,social,14919.81
ORD-1E3AE480,CUST-B77A1F9C,2024-12-23 02:03:08,CANCELLED,Free Shipping,0.0,0.0,1053.52,14222.56,USD,mobile_app,14222.56
ORD-347334FE,CUST-F050AED2,2022-01-21 03:49:23,COMPLETED,Overnight,9.99,935.38,673.47,9101.88,USD,mobile_app,8156.51
ORD-5778A097,CUST-7ED03D1C,2021-10-17 17:32:06,COMPLETED,Standard,0.0,708.52,1076.95,14538.83,USD,social,13830.31
ORD-A779DF37,CUST-2F78D84B,2021-02-20 00:56:47,CANCELLED,Standard,14.99,0.0,479.69,6490.78,USD,web,6475.79
ORD-8218CF78,CUST-08A5D27E,2021-06-21 09:30:57,PROCESSING,Overnight,9.99,0.0,2.74,46.93,USD,email_campaign,36.94
ORD-83311096,CUST-07B3AFFA,2022-05-04 10:43:24,COMPLETED,Free Shipping,0.0,627.82,954.29,12882.86,USD,social,12255.04
ORD-2399E1D5,CUST-852E55CB,2024-10-16 10:28:13,PENDING,Express,0.0,986.25,1499.1,20237.84,USD,email_campaign,19251.59
ORD-ED2C9FDF,CUST-A027DCB4,2024-08-28 14:17:14,SHIPPED,Standard,0.0,634.87,964.99,13027.42,USD,social,12392.55
ORD-D5850BE5,CUST-AC10475F,2024-12-01 13:50:48,CANCELLED,Overnight,4.99,0.0,799.24,10794.79,USD,mobile_app,10789.8
ORD-0F193FE9,CUST-F7956629,2021-06-25 23:56:08,PENDING,Free Shipping,0.0,525.96,378.69,5112.35,USD,email_campaign,4586.39
ORD-E3810205,CUST-F8BE3A14,2023-04-19 08:25:37,PROCESSING,Click & Collect,4.99,30.37,21.87,300.18,USD,email_campaign,264.82
ORD-EDE530CB,CUST-AC575539,2021-09-09 01:17:04,COMPLETED,Overnight,14.99,0.0,282.21,3824.87,USD,social,3809.88
ORD-79D89099,CUST-10166A8E,2024-06-24 01:53:11,PROCESSING,Overnight,9.99,282.03,428.68,5797.2,USD,mobile_app,5505.18
ORD-357F151B,CUST-A2FB4051,2023-07-06 10:30:40,SHIPPED,Standard,0.0,0.0,10.51,141.89,USD,web,141.89
ORD-1C7147DF,CUST-B311BA64,2021-11-16 15:10:54,REFUNDED,Click & Collect,4.99,759.95,1155.12,15599.16,USD,email_campaign,14834.22
ORD-9419C38D,CUST-F5046CE5,2021-10-22 15:24:54,COMPLETED,Click & Collect,0.0,369.37,561.45,7579.54,USD,mobile_app,7210.17
ORD-31C9B517,CUST-4E7BB49C,2023-11-25 14:07:56,COMPLETED,Standard,0.0,737.45,530.96,7167.99,USD,marketplace,6430.54
ORD-60AD2853,CUST-3917B544,2021-09-23 06:21:24,COMPLETED,Express,9.99,262.41,398.86,5394.65,USD,email_campaign,5122.25
ORD-D77AE596,CUST-12E44122,2023-02-21 14:28:12,CANCELLED,Standard,4.99,0.0,1104.3,14913.04,USD,marketplace,14908.05
ORD-B300BFA7,CUST-8D007DBF,2023-09-30 12:48:03,COMPLETED,Click & Collect,0.0,0.0,335.24,4525.79,USD,marketplace,4525.79
ORD-F13556FF,CUST-B802376A,2023-07-25 00:50:26,COMPLETED,Express,4.99,1169.29,841.89,11370.54,USD,marketplace,10196.26
ORD-20BFE0A1,CUST-4B65B81D,2021-11-27 20:46:30,COMPLETED,Standard,9.99,0.0,680.14,9191.91,USD,web,9181.92
ORD-E0397C25,CUST-96DD30B6,2023-01-04 20:04:42,COMPLETED,Free Shipping,4.99,0.0,314.22,4246.93,USD,email_campaign,4241.94
ORD-DC0B5BC7,CUST-7A945CFC,2023-12-16 08:19:20,SHIPPED,Standard,0.0,655.53,471.98,6371.75,USD,marketplace,5716.22
ORD-87B36FBB,CUST-12CADB66,2021-12-21 12:08:27,COMPLETED,Overnight,9.99,0.0,260.7,3529.5,USD,social,3519.51
ORD-830698B7,CUST-11DA3D67,2023-06-02 15:14:53,SHIPPED,Click & Collect,14.99,14.37,10.35,154.71,USD,web,125.35
ORD-1B205E5E,CUST-57431CD1,2024-01-31 18:54:32,REFUNDED,Standard,9.99,337.81,513.47,6941.8,USD,web,6594.0
ORD-3ADFFB7E,CUST-612CB447,2021-10-23 10:41:31,PENDING,Click & Collect,0.0,0.0,201.27,2717.11,USD,email_campaign,2717.11
ORD-5828EDA7,CUST-FA090ECB,2022-11-30 20:49:47,REFUNDED,Overnight,14.99,1066.6,1621.24,21901.67,USD,email_campaign,20820.08
ORD-0D0E6F1C,CUST-8B4A4E22,2024-03-09 22:26:40,REFUNDED,Express,14.99,268.35,407.89,5521.51,USD,social,5238.17
ORD-08E428E2,CUST-0D9C4C90,2024-06-18 21:05:08,PENDING,Overnight,14.99,957.52,689.41,9322.05,USD,email_campaign,8349.54
ORD-3CBD0B28,CUST-A83D41D5,2024-03-19 05:01:08,PROCESSING,Free Shipping,4.99,0.0,436.77,5901.36,USD,mobile_app,5896.37
ORD-5465F7AE,CUST-A0E3BE03,2024-10-18 20:55:13,COMPLETED,Overnight,0.0,0.0,972.15,13124.05,USD,web,13124.05
ORD-34B165A1,CUST-C9EA4BAB,2021-06-09 18:15:28,CANCELLED,Express,4.99,781.64,1188.1,16044.3,USD,web,15257.67
ORD-19B500EB,CUST-96CED251,2022-08-05 05:35:07,CANCELLED,Overnight,4.99,0.0,92.5,1253.68,USD,web,1248.69
ORD-9BF75420,CUST-E9EAAA68,2024-03-27 05:43:30,REFUNDED,Express,4.99,625.37,450.26,6083.56,USD,email_campaign,5453.2
ORD-560E6FD8,CUST-F8BD269C,2021-12-11 06:41:21,COMPLETED,Free Shipping,14.99,0.0,790.55,10687.46,USD,marketplace,10672.47
ORD-B316158E,CUST-F9A320FE,2023-02-27 19:50:52,CANCELLED,Overnight,9.99,944.63,680.14,9191.83,USD,mobile_app,8237.21
ORD-E1ED6FAE,CUST-54E05BDC,2023-08-27 00:05:40,PENDING,Standard,14.99,0.0,572.29,7740.9,USD,web,7725.91
ORD-00B01DC3,CUST-30C7DBA2,2021-05-23 23:58:38,CANCELLED,Standard,0.0,366.62,263.97,3563.56,USD,marketplace,3196.94
ORD-BE82373F,CUST-0CA158F9,2024-08-06 13:10:39,COMPLETED,Click & Collect,0.0,107.53,163.44,2206.46,USD,marketplace,2098.93
ORD-CC4B15A3,CUST-FAEFFA07,2022-07-20 05:46:40,COMPLETED,Express,0.0,0.0,1439.47,19432.87,USD,email_campaign,19432.87
ORD-C7B22226,CUST-DBD0B45E,2022-12-16 07:38:14,COMPLETED,Overnight,0.0,0.0,364.14,4915.83,USD,web,4915.83
ORD-87913AA6,CUST-814DA8C9,2021-05-02 14:11:01,CANCELLED,Overnight,0.0,354.15,538.31,7267.2,USD,marketplace,6913.05
ORD-15728E9E,CUST-92A08EE4,2023-12-01 21:41:56,COMPLETED,Click & Collect,4.99,358.6,545.07,7363.42,USD,mobile_app,6999.83
ORD-9B38DA9D,CUST-423D727E,2022-11-18 01:48:23,PROCESSING,Standard,0.0,352.81,536.27,7239.64,USD,email_campaign,6886.83
ORD-BBE3246D,CUST-0D005E2F,2024-03-01 05:15:55,PROCESSING,Free Shipping,0.0,707.62,509.49,6878.11,USD,web,6170.49
ORD-1BD58E2C,CUST-AFE6E962,2022-01-03 03:31:42,COMPLETED,Standard,9.99,0.0,1348.57,18215.73,USD,marketplace,18205.74
ORD-7CBBFD05,CUST-576678B4,2023-07-12 05:37:26,COMPLETED,Standard,9.99,810.34,583.44,7886.48,USD,email_campaign,7066.15
ORD-835D1BB2,CUST-F1B96EF1,2023-10-05 19:15:29,COMPLETED,Free Shipping,14.99,385.81,586.43,7931.74,USD,web,7530.94
ORD-47A8EADC,CUST-8EB4734F,2022-05-01 02:07:37,COMPLETED,Express,0.0,0.0,66.19,893.54,USD,email_campaign,893.54
ORD-7A68753F,CUST-BF4CD8F5,2022-01-22 18:39:08,COMPLETED,Free Shipping,4.99,0.0,477.68,6453.71,USD,web,6448.72
ORD-E0DED448,CUST-71CC3E47,2022-12-23 15:09:34,CANCELLED,Click & Collect,4.99,557.47,847.36,11444.36,USD,mobile_app,10881.9
ORD-D0060F20,CUST-3A446030,2021-12-17 03:55:15,COMPLETED,Overnight,14.99,890.05,640.84,8666.29,USD,mobile_app,7761.25
ORD-5D97160E,CUST-186F8619,2022-12-31 16:20:58,PENDING,Standard,0.0,0.0,595.71,8042.1,USD,marketplace,8042.1
ORD-E63EFA8A,CUST-23305485,2024-02-25 03:09:58,SHIPPED,Overnight,4.99,1055.65,760.06,10265.85,USD,marketplace,9205.21
ORD-082E3404,CUST-5D268905,2023-11-01 23:17:22,REFUNDED,Overnight,4.99,0.0,1261.65,17037.26,USD,marketplace,17032.27
ORD-4F0E3F15,CUST-CBF1B942,2024-12-23 13:15:19,COMPLETED,Express,4.99,0.0,833.88,11262.37,USD,mobile_app,11257.38
ORD-11F7607D,CUST-54D35134,2021-03-30 11:48:37,PROCESSING,Standard,4.99,0.0,485.02,6552.73,USD,web,6547.74
ORD-6A7FCCC1,CUST-9FDB6C82,2022-05-30 20:15:26,COMPLETED,Express,0.0,0.0,98.55,1330.45,USD,marketplace,1330.45
ORD-6D41267B,CUST-0126CB5C,2021-12-24 14:28:26,REFUNDED,Standard,0.0,654.37,994.64,13427.69,USD,email_campaign,12773.32
ORD-93D3F2B4,CUST-CF35FB7F,2024-09-17 03:55:36,CANCELLED,Express,4.99,0.0,401.33,5422.94,USD,web,5417.95
ORD-A83EA06A,CUST-A3BC6BA5,2023-08-08 12:52:07,PENDING,Free Shipping,4.99,0.0,558.1,7539.35,USD,marketplace,7534.36
ORD-DBEE65DD,CUST-A896B42C,2021-06-21 15:09:28,PENDING,Click & Collect,0.0,1432.18,1031.17,13920.83,USD,mobile_app,12488.65
ORD-57A0C9B6,CUST-7D95C9CE,2021-06-10 12:38:33,REFUNDED,Standard,0.0,263.55,400.6,5408.11,USD,marketplace,5144.56
ORD-395975FF,CUST-CAAA9095,2024-12-12 22:19:43,COMPLETED,Standard,9.99,0.0,382.32,5171.28,USD,marketplace,5161.29
ORD-DC7B832E,CUST-6E3C2516,2024-10-22 23:48:29,PENDING,Overnight,0.0,0.0,246.1,3322.31,USD,mobile_app,3322.31
ORD-477D18C9,CUST-C09A140A,2022-09-27 22:58:27,SHIPPED,Express,9.99,795.37,1208.96,16330.95,USD,web,15525.59
ORD-69C59D52,CUST-FD034C0D,2024-05-08 19:40:26,COMPLETED,Free Shipping,0.0,0.0,373.99,5048.91,USD,web,5048.91
ORD-8A097206,CUST-3BA52900,2021-02-08 23:29:19,COMPLETED,Overnight,4.99,501.78,762.7,10301.41,USD,social,9794.64
ORD-F81A1A5F,CUST-1BE93794,2022-12-21 19:40:55,REFUNDED,Free Shipping,4.99,181.83,130.92,1772.38,USD,email_campaign,1585.56
ORD-E10C408F,CUST-B9B89F22,2024-05-01 03:16:05,REFUNDED,Overnight,4.99,600.03,432.02,5837.26,USD,mobile_app,5232.24
ORD-5DC0487C,CUST-1101D4F0,2022-09-02 01:59:55,SHIPPED,Free Shipping,0.0,368.51,265.33,3581.93,USD,social,3213.42
ORD-471FFC40,CUST-B7AE836E,2024-11-21 18:00:18,REFUNDED,Express,9.99,816.48,1241.04,16764.07,USD,web,15937.6
ORD-C5426BAD,CUST-CF701A19,2022-05-24 09:48:03,SHIPPED,Click & Collect,4.99,0.0,282.76,3822.22,USD,email_campaign,3817.23
ORD-8CDF7365,CUST-3A1965AD,2024-05-30 08:49:42,COMPLETED,Express,9.99,1470.25,1058.58,14300.86,USD,social,12820.62
ORD-5AE59752,CUST-614A1281,2022-07-20 19:04:53,COMPLETED,Click & Collect,4.99,0.0,1668.88,22534.9,USD,email_campaign,22529.91
ORD-F58F363E,CUST-5AB8C258,2024-09-20 10:55:07,CANCELLED,Express,4.99,572.76,412.39,5572.22,USD,web,4994.47
ORD-6BD68832,CUST-5C5289DE,2022-12-04 20:49:45,SHIPPED,Overnight,14.99,0.0,1303.81,17616.43,USD,social,17601.44
ORD-168FD4CC,CUST-AA9513EA,2022-12-21 12:46:13,COMPLETED,Express,14.99,510.33,367.44,4975.41,USD,marketplace,4450.09
ORD-D02E1D3C,CUST-07E808D1,2023-10-08 06:54:46,COMPLETED,Overnight,4.99,0.0,1222.08,16503.01,USD,mobile_app,16498.02
ORD-E423D0C2,CUST-E9A87735,2024-03-16 12:02:48,PENDING,Free Shipping,9.99,0.0,962.47,13003.38,USD,social,12993.39
ORD-04EDC712,CUST-9A82D5C6,2023-07-09 06:48:48,COMPLETED,Free Shipping,9.99,547.62,832.39,11247.22,USD,mobile_app,10689.61
ORD-CB65D212,CUST-A71EE0AB,2022-01-03 03:16:21,COMPLETED,Overnight,9.99,0.0,687.05,9285.14,USD,marketplace,9275.15
ORD-263B34FA,CUST-EDAC3DDF,2024-02-25 04:00:44,PROCESSING,Overnight,4.99,1980.13,1425.69,19251.81,USD,marketplace,17266.69
ORD-E60B4AEE,CUST-3C544DC2,2021-01-31 05:06:40,COMPLETED,Standard,4.99,0.0,241.35,3263.21,USD,social,3258.22
ORD-E776ADEF,CUST-62359571,2022-10-08 16:43:00,PENDING,Express,4.99,0.0,781.64,10557.16,USD,marketplace,10552.17
ORD-E946DE76,CUST-B818EA89,2024-11-02 09:01:58,CANCELLED,Express,14.99,0.0,220.0,2984.98,USD,marketplace,2969.99
ORD-C1237491,CUST-D827ACDD,2024-07-23 17:23:18,PENDING,Express,9.99,236.98,170.63,2313.45,USD,web,2066.48
ORD-817436FA,CUST-411B3FC5,2021-10-15 03:53:29,PROCESSING,Express,14.99,505.17,363.72,4925.26,USD,email_campaign,4405.1
ORD-37847C41,CUST-7238C742,2023-03-15 11:16:40,PROCESSING,Standard,9.99,988.06,711.4,9613.89,USD,mobile_app,8615.84
ORD-8BF90E6A,CUST-A896B42C,2023-11-04 19:44:42,CANCELLED,Overnight,0.0,0.0,921.83,12444.69,USD,mobile_app,12444.69
ORD-0C251336,CUST-97DF03BB,2022-12-20 14:11:36,REFUNDED,Free Shipping,14.99,0.0,107.04,1460.01,USD,social,1445.02
ORD-A26112DD,CUST-29E02A7E,2021-05-01 23:34:20,CANCELLED,Free Shipping,0.0,0.0,1190.04,16065.58,USD,marketplace,16065.58
ORD-EB3BD296,CUST-1FFC9325,2023-07-17 20:39:11,PROCESSING,Overnight,0.0,401.46,610.22,8237.94,USD,email_campaign,7836.48
